"filename", "language", "Markdown", "JavaScript", "TypeScript", "JSON with Comments", "TypeScript JSX", "XML", "JSON", "C#", "PostCSS", "comment", "blank", "total"
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.Gateway/InternetMarket.Gateway.csproj", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.Gateway/Program.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 6, 30
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.Gateway/Properties/launchSettings.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 23
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.Gateway/appsettings.json", "JSON", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.Gateway/ocelot.json", "JSON", 0, 0, 0, 0, 0, 0, 211, 0, 0, 0, 0, 211
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.API/Controllers/OrderController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 6, 71
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.API/DTOs/CreateOrderRequest.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.API/Extensions/ClaimsPrincipleExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.API/Extensions/DependencyInjection.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 2, 45
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.API/InternetMarket.OrderService.API.csproj", "XML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 5, 23
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.API/Program.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.API/Properties/launchSettings.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.API/appsettings.json", "JSON", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.Application/Abstractions/Clients/ICartServiceClient.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.Application/Abstractions/Clients/IProductServiceClient.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.Application/Abstractions/Repositories/IOrderRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.Application/Abstractions/Repositories/IUserRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.Application/Abstractions/UnitOfWork/IUnitOfWork.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.Application/Consumers/ShipmentCreatedConsumer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 3, 27
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.Application/Consumers/ShipmentReceivedConsumer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.OrderService/InternetMarket.OrderService.Application/Consumers/TransactionSuccessfulConsumer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
